20240129-21:50:35,Thời Trang Nam,Áo Nỉ Thun Giữ Nhiệt Dài Tay Nam Trơn ATINO Chất Thun Nỉ Ấm Áp Giữ Nhiệt Trẻ Trung Form Slim AN4.7937,https://shopee.vn/%C3%81o-N%E1%BB%89-Thun-Gi%E1%BB%AF-Nhi%E1%BB%87t-D%C3%A0i-Tay-Nam-Tr%C6%A1n-ATINO-Ch%E1%BA%A5t-Thun-N%E1%BB%89-%E1%BA%A4m-%C3%81p-Gi%E1%BB%AF-Nhi%E1%BB%87t-Tr%E1%BA%BB-Trung-Form-Slim-AN4.7937-i.439115986.17399429670?sp_atk=bc89e3b0-f0af-4888-819e-bae9c8bbe758&xptdk=bc89e3b0-f0af-4888-819e-bae9c8bbe758,4.88,₫49.000,Hà Nội,289100000
20240129-21:50:42,Thời Trang Nam,Áo dài ngũ thân cúc tròn có BIGSIZE 120kg [KHÔNG KÈM QUẦN],https://shopee.vn/%C3%81o-d%C3%A0i-ng%C5%A9-th%C3%A2n-c%C3%BAc-tr%C3%B2n-c%C3%B3-BIGSIZE-120kg-KH%C3%94NG-K%C3%88M-QU%E1%BA%A6N--i.31180802.19285640029?sp_atk=50c3c87e-abb1-4ec4-b68a-df3652550429&xptdk=50c3c87e-abb1-4ec4-b68a-df3652550429,4.92,₫409.050 - ₫425.250,TP. Hồ Chí Minh,1530900000
20240129-21:50:49,Thời Trang Nam,tất Vớ dài thể thao khử mùi thể thao nữ cổ cao cả nam và nữ trắng/be/đen/xanh Bốn màu tùy chọn,https://shopee.vn/ta%CC%82%CC%81t-V%E1%BB%9B-d%C3%A0i-th%E1%BB%83-thao-kh%E1%BB%AD-m%C3%B9i-th%E1%BB%83-thao-nu%CC%9B%CC%83-co%CC%82%CC%89-cao-c%E1%BA%A3-nam-v%C3%A0-n%E1%BB%AF-tr%E1%BA%AFng-be-%C4%91en-xanh-B%E1%BB%91n-m%C3%A0u-t%C3%B9y-ch%E1%BB%8Dn-i.966414535.23333039224?sp_atk=eef6c105-7599-4016-88eb-f75e3fe1f3d1&xptdk=eef6c105-7599-4016-88eb-f75e3fe1f3d1,4.67,₫6.500,Hà Nội,624650000
20240129-21:50:56,Thời Trang Nam,Thắt lưng nam Dabaraac da cao cấp khóa kim loại tự động không gỉ - Cam kết 1 đổi 1 bảo hành 12 tháng TL71,https://shopee.vn/Th%E1%BA%AFt-l%C6%B0ng-nam-Dabaraac-da-cao-c%E1%BA%A5p-kh%C3%B3a-kim-lo%E1%BA%A1i-t%E1%BB%B1-%C4%91%E1%BB%99ng-kh%C3%B4ng-g%E1%BB%89-Cam-k%E1%BA%BFt-1-%C4%91%E1%BB%95i-1-b%E1%BA%A3o-h%C3%A0nh-12-th%C3%A1ng-TL71-i.5477556.22286949539?sp_atk=8b7fe573-6317-451f-8aae-cfdafd0341be&xptdk=8b7fe573-6317-451f-8aae-cfdafd0341be,4.91,₫69.000 - ₫79.000,Hà Nội,560900000
20240129-21:51:03,Thời Trang Nam,Quần jean baggy nam Xanh RETRO ống rộng xuông cạp cao Quần bò nam dáng suông xu hướng Avocado,https://shopee.vn/Qu%C3%A2%CC%80n-jean-baggy-nam-Xanh-RETRO-%E1%BB%91ng-r%E1%BB%99ng-xu%C3%B4ng-c%E1%BA%A1p-cao-Qu%E1%BA%A7n-b%C3%B2-nam-d%C3%A1ng-su%C3%B4ng-xu-h%C6%B0%E1%BB%9Bng-Avocado-i.990716895.18485628145?sp_atk=abc2baf0-dbd3-4d2f-ba15-68d22c78247f&xptdk=abc2baf0-dbd3-4d2f-ba15-68d22c78247f,4.74,₫168.000,Hà Nội,873600000
20240129-21:51:11,Thời Trang Nam,Quần Jogger Nỉ Bông Thu Đông APT Unisex Quần Dài Bo Gấu Chất Liệu Nỉ Bông Dày Dặn Ấm Áp   Thu Đông 2024,https://shopee.vn/Qu%C3%A2%CC%80n-Jogger-Ni%CC%89-B%C3%B4ng-Thu-%C4%90%C3%B4ng-APT-Unisex-Qu%C3%A2%CC%80n-Da%CC%80i-Bo-G%C3%A2%CC%81u-Ch%C3%A2%CC%81t-Li%C3%AA%CC%A3u-Ni%CC%89-B%C3%B4ng-Da%CC%80y-D%C4%83%CC%A3n-%C3%82%CC%81m-A%CC%81p-Thu-%C4%90%C3%B4ng-2024-i.697931037.22855807673?sp_atk=6f178a9b-5c72-4ce0-8b3e-d0a52f0215f4&xptdk=6f178a9b-5c72-4ce0-8b3e-d0a52f0215f4,4.77,₫123.000,Thái Nguyên,1389900000
20240129-21:51:18,Thời Trang Nam,Quần Jeans nam TORANO dáng basic Slim Co Giãn Tốt  Không Bai Xù  Bền Màu  Phom Trẻ Trung EABJ012,https://shopee.vn/Qu%E1%BA%A7n-Jeans-nam-TORANO-d%C3%A1ng-basic-Slim-Co-Gi%C3%A3n-T%E1%BB%91t-Kh%C3%B4ng-Bai-X%C3%B9-B%E1%BB%81n-M%C3%A0u-Phom-Tr%E1%BA%BB-Trung-EABJ012-i.835435.21622669888?sp_atk=2216b214-d217-4125-9fa7-9278816d2dfb&xptdk=2216b214-d217-4125-9fa7-9278816d2dfb,4.81,₫369.000,Hà Nội,5092200000
20240129-21:51:25,Thời Trang Nam,Tất bóng đá chống trơn Wika  tất đá banh có cao su chống trượt,https://shopee.vn/T%E1%BA%A5t-b%C3%B3ng-%C4%91%C3%A1-ch%E1%BB%91ng-tr%C6%A1n-Wika-t%E1%BA%A5t-%C4%91%C3%A1-banh-c%C3%B3-cao-su-ch%E1%BB%91ng-tr%C6%B0%E1%BB%A3t-i.57459908.13458185915?sp_atk=ff4a874d-e71a-4d44-b6af-8fb0ee81f6a9&xptdk=ff4a874d-e71a-4d44-b6af-8fb0ee81f6a9,4.84,₫4.500 - ₫17.500,Hà Nội,1242500000
20240129-21:51:32,Thời Trang Nam,Combo 10 Đôi Tất  Vớ Nam Cổ Cao U.ni Hàng Xuất Chất Liệu Nano Chống Hôi Chân,https://shopee.vn/Combo-10-%C4%90%C3%B4i-T%E1%BA%A5t-V%E1%BB%9B-Nam-C%E1%BB%95-Cao-U.ni-H%C3%A0ng-Xu%E1%BA%A5t-Ch%E1%BA%A5t-Li%E1%BB%87u-Nano-Ch%E1%BB%91ng-H%C3%B4i-Ch%C3%A2n-i.207562814.9103078206?sp_atk=1dd89a63-7d1b-4d5f-8271-a869b139f05e&xptdk=1dd89a63-7d1b-4d5f-8271-a869b139f05e,4.88,₫39.000 - ₫78.000,Hà Nội,2558400000
20240129-21:51:39,Thời Trang Nam,Áo sơ mi nam Basic chất kaki cao cấp cực đẹp,https://shopee.vn/%C3%81o-s%C6%A1-mi-nam-Basic-ch%E1%BA%A5t-kaki-cao-c%E1%BA%A5p-c%E1%BB%B1c-%C4%91%E1%BA%B9p-i.337694368.3362720010?sp_atk=ecb61df4-ef31-468a-ac7b-90f3fbe26014&xptdk=ecb61df4-ef31-468a-ac7b-90f3fbe26014,4.58,₫105.000,Hà Nội,1207500000
